          x            density        pressure        velocity        internal energy

   0.0000000E+00   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   1.2500000E-03   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   2.5000000E-03   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   3.7500000E-03   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   5.0000000E-03   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   6.2500000E-03   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   7.5000000E-03   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   8.7500000E-03   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   1.0000000E-02   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   1.1250000E-02   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   1.2500000E-02   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   1.3750000E-02   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   1.5000000E-02   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   1.6250000E-02   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   1.7500000E-02   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   1.8750000E-02   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   2.0000000E-02   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   2.1250000E-02   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   2.2500000E-02   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   2.3750000E-02   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   2.5000000E-02   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   2.6250000E-02   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   2.7500000E-02   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   2.8750000E-02   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   3.0000000E-02   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   3.1250000E-02   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   3.2500000E-02   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   3.3750000E-02   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   3.5000000E-02   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   3.6250000E-02   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   3.7500000E-02   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   3.8750000E-02   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   4.0000000E-02   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   4.1250000E-02   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   4.2500000E-02   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   4.3750000E-02   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
   4.5000000E-02   1.0000000E+00  -2.0000000E+00   4.0000000E-01   1.0000000E+00
