          x            density        pressure        velocity        internal energy

   2.5000000E-03   1.0000000E+00   0.0000000E+00   1.0000000E+03   2.5000000E+03
   5.0000000E-03   1.0000000E+00   0.0000000E+00   1.0000000E+03   2.5000000E+03
   7.5000000E-03   1.0000000E+00   0.0000000E+00   1.0000000E+03   2.5000000E+03
   1.0000000E-02   1.0000000E+00   0.0000000E+00   1.0000000E+03   2.5000000E+03
   1.2500000E-02   1.0000000E+00   0.0000000E+00   1.0000000E+03   2.5000000E+03
   1.5000000E-02   1.0000000E+00   0.0000000E+00   1.0000000E+03   2.5000000E+03
   1.7500000E-02   1.0000000E+00   0.0000000E+00   1.0000000E+03   2.5000000E+03
   2.0000000E-02   1.0000000E+00   0.0000000E+00   1.0000000E+03   2.5000000E+03
   2.2500000E-02   1.0000000E+00   0.0000000E+00   1.0000000E+03   2.5000000E+03
   2.5000000E-02   1.0000000E+00   0.0000000E+00   1.0000000E+03   2.5000000E+03
   2.7500000E-02   1.0000000E+00   0.0000000E+00   1.0000000E+03   2.5000000E+03
   3.0000000E-02   1.0000000E+00   0.0000000E+00   1.0000000E+03   2.5000000E+03
   3.2500000E-02   1.0000000E+00   0.0000000E+00   1.0000000E+03   2.5000000E+03
   3.5000000E-02   1.0000000E+00   0.0000000E+00   1.0000000E+03   2.5000000E+03
   3.7500000E-02   1.0000000E+00   0.0000000E+00   1.0000000E+03   2.5000000E+03
   4.0000000E-02   1.0000000E+00   0.0000000E+00   1.0000000E+03   2.5000000E+03
   4.2500000E-02   1.0000000E+00   0.0000000E+00   1.0000000E+03   2.5000000E+03
   4.5000000E-02   1.0000000E+00   0.0000000E+00   1.0000000E+03   2.5000000E+03
   4.7500000E-02   1.0000000E+00   0.0000000E+00   1.0000000E+03   2.5000000E+03
   5.0000000E-02   1.0000000E+00   0.0000000E+00   1.0000000E+03   2.5000000E+03
   5.2500000E-02   9.9722119E-01   1.0408933E-01   9.9611183E+02   2.4972189E+03
   5.5000000E-02   9.9260014E-01   2.7770045E-01   9.8965556E+02   2.4925837E+03
   5.7500000E-02   9.8799625E-01   4.5131156E-01   9.8323519E+02   2.4879527E+03
   6.0000000E-02   9.8340945E-01   6.2492267E-01   9.7685055E+02   2.4833261E+03
   6.2500000E-02   9.7883970E-01   7.9853378E-01   9.7050149E+02   2.4787038E+03
   6.5000000E-02   9.7428695E-01   9.7214489E-01   9.6418782E+02   2.4740858E+03
   6.7500000E-02   9.6975117E-01   1.1457560E+00   9.5790940E+02   2.4694722E+03
   7.0000000E-02   9.6523229E-01   1.3193671E+00   9.5166605E+02   2.4648628E+03
   7.2500000E-02   9.6073027E-01   1.4929782E+00   9.4545761E+02   2.4602577E+03
   7.5000000E-02   9.5624507E-01   1.6665893E+00   9.3928393E+02   2.4556569E+03
   7.7500000E-02   9.5177663E-01   1.8402004E+00   9.3314482E+02   2.4510605E+03
   8.0000000E-02   9.4732491E-01   2.0138116E+00   9.2704015E+02   2.4464683E+03
   8.2500000E-02   9.4288987E-01   2.1874227E+00   9.2096973E+02   2.4418804E+03
   8.5000000E-02   9.3847145E-01   2.3610338E+00   9.1493342E+02   2.4372969E+03
   8.7500000E-02   9.3406962E-01   2.5346449E+00   9.0893106E+02   2.4327177E+03
   9.0000000E-02   9.2968431E-01   2.7082560E+00   9.0296248E+02   2.4281427E+03
   9.2500000E-02   9.2531549E-01   2.8818671E+00   8.9702752E+02   2.4235721E+03
   9.5000000E-02   9.2096311E-01   3.0554782E+00   8.9112603E+02   2.4190058E+03
   9.7500000E-02   9.1662713E-01   3.2290893E+00   8.8525785E+02   2.4144437E+03
   1.0000000E-01   9.1230749E-01   3.4027004E+00   8.7942283E+02   2.4098860E+03
   1.0250000E-01   9.0800415E-01   3.5763116E+00   8.7362080E+02   2.4053326E+03
   1.0500000E-01   9.0371707E-01   3.7499227E+00   8.6785162E+02   2.4007835E+03
   1.0750000E-01   8.9944619E-01   3.9235338E+00   8.6211512E+02   2.3962387E+03
   1.1000000E-01   8.9519148E-01   4.0971449E+00   8.5641115E+02   2.3916982E+03
   1.1250000E-01   8.9095288E-01   4.2707560E+00   8.5073956E+02   2.3871621E+03
